"","Distance_km","Elev_m","ET14_mm","ET15_mm","ET16_mm","ET17_mm","ET18_mm","ET19_mm","ETMN_mm","Distance_m"
"33",1.65,1322.65976351951,950.481179706991,1123.27496245789,1161.2969240416,1047.53941770429,995.641012721856,854.662688938682,1022.14940033788,1650
"34",1.7,1319.44985991245,967.913949202613,1137.42819660158,1190.12660549337,1073.23460350128,1015.30921349129,801.750448061621,1030.96054931873,1700
"35",1.75,1316.23995630539,985.346718698236,1151.58143074528,1218.95628694513,1098.92978929826,1034.97741426072,748.838207184561,1039.77169829958,1750
"36",1.8,1315.45477237401,1094.89258345168,1242.22662977819,1331.11298433506,1231.13735562679,1174.88217673506,814.376984552776,1148.10480688557,1800
"37",1.85,1318.83016962781,1121.59717044958,1266.39193104016,1353.96928712486,1254.48180149084,1214.97784496578,888.334919068079,1183.29218645321,1850
"38",1.9,1317.96639401697,1175.29414556086,1311.28524521817,1410.48653539288,1300.21704487404,1251.22672879855,996.700185994006,1240.86835859691,1900
"39",1.95,1317.10261840613,1228.33904569707,1355.61819517392,1466.37567145412,1345.3619906476,1286.95068026009,1103.75952754936,1297.73424612703,1950
"40",2,1315.91891257928,1187.12745803557,1318.95131306236,1431.47210296908,1305.1802768097,1246.79642210691,1022.04925907535,1251.92952740559,2000
"41",2.05,1315.29257620852,1145.91587037407,1282.28443095079,1396.56853448404,1264.99856297181,1206.64216395374,940.33899060133,1206.12480868414,2050
"42",2.1,1314.66623983777,1104.70428271257,1245.61754883923,1361.664965999,1224.81684913391,1166.48790580056,858.628722127314,1160.32008996269,2100
"43",2.15,1314.03990346701,1102.05058166864,1246.97469148217,1356.92318352934,1234.84714771668,1179.3228962086,835.076667347832,1159.19922272316,2150
"44",2.2,1316.73557733776,1132.40979580007,1275.66795024735,1362.86870618561,1285.34786209619,1248.81119815652,881.297680513068,1197.73384852934,2200
"45",2.25,1316.85534146159,1098.67306602794,1244.50394596134,1317.74130264513,1236.32957593989,1184.03213179601,832.460031286743,1152.28994915488,2250
"46",2.3,1317.39551937846,1085.02004102795,1244.3802020761,1313.40743366194,1218.58810437537,1125.74811419681,800.238713666977,1131.23040738347,2300
"47",2.35,1317.98152161106,1045.94150169502,1191.91682984142,1271.28558041305,1170.49734644711,1089.01481407002,775.902674714744,1090.75981976327,2350
"48",2.4,1316.65592042516,1023.75730138063,1168.99364086602,1257.46802409093,1153.56983360208,1078.94289876948,771.927768904992,1075.77660391571,2400
"49",2.45,1315.33031923927,1001.57310106624,1146.07045189061,1243.65046776882,1136.64232075704,1068.87098346894,767.95286309524,1060.79338806815,2450
"50",2.5,1314.00471805338,979.388900751856,1123.1472629152,1229.8329114467,1119.714807912,1058.7990681684,763.977957285489,1045.81017222059,2500
"51",2.55,1313.58935238466,949.622220959163,1098.00592093172,1180.00029505997,1083.82935790544,1038.30217928527,745.77979607012,1015.9233109515,2550
"52",2.6,1316.8415509142,959.489920486543,1107.26016441008,1161.82456889327,1082.50977995302,1044.28148737613,730.371467527393,1014.28955258962,2600
"53",2.65,1319.02155288136,893.022034329457,1061.42473489196,1074.42015452912,1017.47463419648,980.111836771734,664.303038910605,948.4594265289,2650
"54",2.7,1320.83741792368,803.894272522973,982.567332570269,976.516183607073,933.895504368693,845.214665585447,574.247653212242,852.722591241573,2700
"55",2.75,1319.03574887148,829.009477891984,998.66754528272,1017.6282642208,963.811247600498,888.17917532603,619.222740412409,886.086394919058,2750
"56",2.8,1317.26470551957,854.124683260996,1014.76775799517,1058.74034483454,993.726990832302,931.143685066613,664.197827612576,919.450198596542,2800
"57",2.85,1315.49366216766,879.239888630007,1030.86797070762,1099.85242544827,1023.64273406411,974.108194807197,709.172914812743,952.814002274027,2850
"58",2.9,1313.98359247713,879.646112724299,1059.30137460894,1073.15968565952,1042.45763070302,953.082109474023,665.150880267996,945.466339596404,2900
"59",2.95,1316.32226315547,797.558698575749,987.372908296575,937.049996797342,938.688616711689,861.978594138896,619.471196116938,857.020018665427,2950
"60",3,1318.66093383381,801.18575520166,986.719399679126,944.028643876378,940.177043419847,868.524341417582,693.869145376303,872.417399881596,3000
"61",3.05,1321.0313686602,804.81281182757,986.065891061678,951.007290955414,941.665470128004,875.070088696267,768.267094635667,887.814781097765,3050
"62",3.1,1319.39763020374,808.43986845348,985.41238244423,957.985938034449,943.153896836162,881.615835974953,842.665043895033,903.212162313934,3100
"63",3.15,1317.19480970808,782.22179548594,963.393616002162,922.474900479742,920.709652725393,876.079922020867,838.735538754544,883.93593609881,3150
"64",3.2,1314.99198921242,743.381324946777,888.894017943951,817.181165055793,860.224421935875,784.378073256354,634.679690769489,788.123085133795,3200
"65",3.25,1310.33514378581,768.202500416332,964.57345321175,906.212396616943,919.224604312152,835.496988601519,536.741276556813,821.741870279443,3250
"66",3.3,1309.03580175182,655.889127522495,833.540094600792,724.183651017731,767.792130377675,708.068617128936,425.209090513455,685.780456245976,3300
"67",3.35,1309.79097727863,651.324207868106,820.775069646451,706.787355534055,753.710443893642,692.855288321442,465.543674716324,681.832663969668,3350
"68",3.4,1310.54615280544,681.358573942335,839.520553471592,737.44715332787,790.401049775633,721.509070102201,552.729637679859,720.494325097407,3400
"69",3.45,1311.30132833225,711.392940016564,858.266037296733,768.106951121685,827.091655657625,750.16285188296,639.915600643394,759.155986225146,3450
"70",3.5,1309.96833469049,741.427306090793,877.011521121873,798.7667489155,863.782261539616,778.816633663718,727.101563606929,797.817647352884,3500
